c1,op21,c2,op23,c3,count
http://erlangen-crm.org/current/E35_Title,http://erlangen-crm.org/current/P102_has_title,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P24i_changed_ownership_through,http://erlangen-crm.org/current/E8_Acquisition,40929
http://erlangen-crm.org/current/E8_Acquisition,http://erlangen-crm.org/current/P24i_changed_ownership_through,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P102_has_title,http://erlangen-crm.org/current/E35_Title,40929
http://erlangen-crm.org/current/E40_Legal_Body,http://erlangen-crm.org/current/P52_has_current_owner,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P24i_changed_ownership_through,http://erlangen-crm.org/current/E8_Acquisition,40929
http://erlangen-crm.org/current/E8_Acquisition,http://erlangen-crm.org/current/P24i_changed_ownership_through,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P48_has_preferred_identifier,http://erlangen-crm.org/current/E42_Identifier,40929
http://erlangen-crm.org/current/E8_Acquisition,http://erlangen-crm.org/current/P24i_changed_ownership_through,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P52_has_current_owner,http://erlangen-crm.org/current/E40_Legal_Body,40929
http://erlangen-crm.org/current/E42_Identifier,http://erlangen-crm.org/current/P48_has_preferred_identifier,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P24i_changed_ownership_through,http://erlangen-crm.org/current/E8_Acquisition,40929
http://erlangen-crm.org/current/E8_Acquisition,http://erlangen-crm.org/current/P24i_changed_ownership_through,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P55_has_current_location,http://erlangen-crm.org/current/E53_Place,40289
http://erlangen-crm.org/current/E53_Place,http://erlangen-crm.org/current/P55_has_current_location,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P24i_changed_ownership_through,http://erlangen-crm.org/current/E8_Acquisition,40289
http://erlangen-crm.org/current/E55_Type,http://erlangen-crm.org/current/P127_has_broader_term,http://erlangen-crm.org/current/E55_Type,http://erlangen-crm.org/current/P127_has_broader_term,http://erlangen-crm.org/current/E55_Type,33520
http://erlangen-crm.org/current/E30_Right,http://erlangen-crm.org/current/P104_is_subject_to,http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P1_is_identified_by,http://erlangen-crm.org/current/E75_Conceptual_Object_Appellation,32928
http://erlangen-crm.org/current/E75_Conceptual_Object_Appellation,http://erlangen-crm.org/current/P1_is_identified_by,http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P138_represents,http://erlangen-crm.org/current/E22_Man-Made_Object,32928
http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P138_represents,http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P1_is_identified_by,http://erlangen-crm.org/current/E75_Conceptual_Object_Appellation,32928
http://erlangen-crm.org/current/E75_Conceptual_Object_Appellation,http://erlangen-crm.org/current/P1_is_identified_by,http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P104_is_subject_to,http://erlangen-crm.org/current/E30_Right,32928
http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P138_represents,http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P104_is_subject_to,http://erlangen-crm.org/current/E30_Right,32736
http://erlangen-crm.org/current/E30_Right,http://erlangen-crm.org/current/P104_is_subject_to,http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P138_represents,http://erlangen-crm.org/current/E22_Man-Made_Object,32736
http://erlangen-crm.org/current/E55_Type,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P1_is_identified_by,http://erlangen-crm.org/current/E75_Conceptual_Object_Appellation,30806
http://erlangen-crm.org/current/E75_Conceptual_Object_Appellation,http://erlangen-crm.org/current/P1_is_identified_by,http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,30806
http://erlangen-crm.org/current/E55_Type,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P138_represents,http://erlangen-crm.org/current/E22_Man-Made_Object,30614
